Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,332997863,34766404,,623029,,29274349,,4869026,4457,104404,1871,513059613,1540729,Americas
India,Asia,1393938700,30907282,2548,409338,,30063720,7590,434224,8944,22173,294,434058138,311390,South-EastAsia
Brazil,South America,214112172,19106971,,534311,,17666654,,906006,8318,89238,2495,54204686,253160,Americas
Russia,Europe,145998857,5833175,24702,144492,780,5236214,19566,452469,2300,39954,990,156300000,1070556,Europe
France,Europe,65422093,5813899,,111353,,5648649,,53897,957,88868,1702,96853814,1480445,Europe
Turkey,Asia,85270920,5486959,,50278,,5354850,,81831,684,64347,590,63471889,744356,Europe
UK,Europe,68252627,5155243,,128431,,4362858,,663954,417,75532,1882,225521761,3304221,Europe
Argentina,South America,45621774,4662937,,99255,,4300823,,262859,5222,102209,2176,17699179,387955,Americas
Colombia,South America,51439782,4530610,,113335,,4276465,,140810,8155,88076,2203,21060560,409422,Americas
Italy,Europe,60370303,4272163,,127788,,4103949,,40426,158,70766,2117,73582831,1218858,Europe
Spain,Europe,46773414,3971124,,81020,,3648438,,241666,719,84901,1732,54183930,1158434,Europe
Germany,Europe,84059481,3744267,,91774,,3635900,800,16593,435,44543,1092,65247345,776204,Europe
Iran,Asia,85096292,3417029,22750,86207,166,3056160,14619,274662,3866,40155,1013,24671220,289921,EasternMediterranean
Poland,Europe,37803943,2880959,96,75173,13,2652604,27,153182,55,76208,1988,17869992,472702,Europe
Indonesia,Asia,276493602,2615529,47899,68219,864,2139601,20123,407709,,9460,247,22133149,80049,South-EastAsia
Mexico,North America,130323764,2593574,3074,235058,89,2051357,9939,307159,4798,19901,1804,7749537,59464,Americas
Ukraine,Europe,43463066,2241698,481,52640,36,2178279,750,10779,177,51577,1211,11063662,254553,Europe
South Africa,Africa,60076159,2206781,,64509,,1943513,,198759,546,36733,1074,13937470,231997,Africa
Peru,South America,33443104,2081557,,194488,,,,,2154,62242,5815,14712510,439927,Americas
Netherlands,Europe,17173874,1744700,7821,17769,3,1654978,1040,71953,84,101590,1035,15010077,874006,Europe
Czechia,Europe,10729420,1669745,239,30333,,1637251,6,2161,2,155623,2827,30974889,2886912,Europe
Chile,South America,19284776,1589623,,33980,,1537815,,17828,2347,82429,1762,17692623,917440,Americas
